Inactive,Street
Yes,1.128 N/O SAND CREEK RD
Yes,1.15  N/O COPPER (SILAXO)
Yes,1.150 NE/O WATTS VALLEY RD
Yes,1.160 W/O PLUMAS
Yes,1.220 SW/O I-5
Yes,1.230 E/O LEONARD
Yes,1.240 N/O VALERIA
Yes,1.250 N/O DRY CREEK (C-238)
Yes,1.250 S/O BIG NUTMEG CREEK
Yes,1.260 W/O JAMESON
Yes,1.270 SE/O JOSE BASIN RD
Yes,1.281 N/O BULLARD
Yes,1.289 W/O GLENN (CHINO CREEK)
Yes,1.290 N/O NEES
Yes,1.326 E/O RIVERBEND
Yes,1.340 W/O HOWARD ALIGN
Yes,1.350 W/O ELM
Yes,1.370 S/O ANNADALE
Yes,1.379 W/O LASSEN ALIGN
Yes,1.386 E/O HOPE WELL RD (PIPE)
Yes,1.390 NE/O SUNNY SLOPE RD
Yes,1.400 E/O FRIANT-KERN CANAL
Yes,1.400 E/O SUNDEW RD
Yes,1.400 NE/O SSR 168
Yes,1.400 S/O ELKHORN
Yes,1.410 SE/O WIEMILLER
Yes,1.416 N/O SSR 168
Yes,1.430 SE/O ROSE
Yes,1.440 E/O ENNIS
Yes,1.450 E/O CAMDEN
Yes,1.450 E/O SANS BAKER RD
Yes,1.460 W/O POLK
Yes,1.489 N/O SSR 168
Yes,1.5 MI W/O SSR 33
Yes,1.500 NW/O TRIMMER SPRINGS
Yes,1.500 S/O JAYNE
Yes,1.500 S/W OF FAIRFAX
Yes,1.510 SW/O SSR 63
Yes,1.520 W/O HOWARD ALIGN
Yes,1.530 NE/O OLD HUNTINGTON
Yes,1.55 SW/O DICKENSON
Yes,1.550 S/O SSR 245
Yes,1.550 SW/O DICKENSON
Yes,"1.552 N/E DRY CREEK (10"" CULVT)"
Yes,1.560 S/O CALIF AQUEDUCT
Yes,1.570 SE/O DERRICK
Yes,1.577 NE/O GOULD CANAL
Yes,1.590 NE/O GOULD CANAL
Yes,1.600 N/O JOSE BASIN RD
Yes,1.610 E/O SPARROW RD
Yes,1.610 W/O HOWARD ALIGN
Yes,1.630 W/O AMADOR
Yes,1.640 E/O SSR 168
Yes,1.640 NE/O SSR 168
Yes,1.700 N/O SSR 180
Yes,1.700 NE/O PITTMAN HILL RD
Yes,1.750 E/O DUNLAP RD
Yes,1.750 N/O SSR 168
Yes,1.750 SE/O DERRICK
Yes,1.770 NE/O SYCAMORE CAMP ENTR.
Yes,1.790 N/O CALIFORNIA ALIGN
Yes,1.790 S/O RUTH HILL ROAD
Yes,1.800 SW/O DUNLAP RD
Yes,1.830 W/O SHIELDS
Yes,1.840 W/O HOWARD ALIGN
Yes,1.850 E/O CRIPE RD
Yes,1.850 N/O WILLOW
Yes,1.860 S/O MILLWOOD RD
Yes,1.864 NE/O MILLERTON RD
Yes,1.900 SE/O SAN BENITO
Yes,1.910 E/O GRAND VIEW
Yes,1.930 E/O CHESTNUT
Yes,1.970 NE/O MAXON ROAD
Yes,1.970 NW/O BONANZA
Yes,1.995 N/O COPPER (C-262)
Yes,10.000 NE/O SSR 168
Yes,11.430 W/O DERRICK
Yes,11.830 NE/O SSR 168
Yes,12.470 NE/O SSR 168
Yes,13.180 W/O DERRICK
Yes,15.140 W/O DERRICK
Yes,17.230 W/O DERRICK
Yes,18.320 W/O DERRICK
Yes,18.900 W/O DERRICK
Yes,19.230 W/O DERRICK
Yes,2.000 E/O BROOKSIDE
Yes,2.000 N/O JENSEN ALIGN
Yes,2.000 S/O CALIF AQUEDUCT
Yes,2.000 S/O PALMER
Yes,2.000 S/O SSR 198
Yes,2.000 W/O ORMSBY
Yes,2.000 W/O SAN MATEO
Yes,2.010 W/O STINSON CANAL
Yes,2.060 N/O MILLERTON RD
Yes,2.100 N/O SSR 168
Yes,2.140 W/O DERRICK
Yes,2.250 NE/O FRIANT-KERN CANAL
Yes,2.250 NW/O RECTOR (PRIVATE)
Yes,2.250 SE/O SSR 180
Yes,2.260 S/O CALIF AQUEDUCT
Yes,2.280 N/O NEES
Yes,2.32 NE/O PRINCETON
Yes,2.320 NE/O PRINCETON
Yes,2.324 N/O COPPER
Yes,2.370 NE/O AUBERRY MISSION RD
Yes,2.370 NW/O BONANZA
Yes,2.440 NE/O SSR 168
Yes,2.440 NE/O SUNNY SLOPE RD
Yes,2.440 W/O SONOMA
Yes,2.470 NE/O MAXON ROAD
Yes,2.500 E/O FRIANT-KERN CANAL
Yes,2.500 SE/O DERRICK
Yes,2.500 SE/O JOSE BASIN RD
Yes,2.510 SE/O BURROUGH VALLEY
Yes,2.550 E/O BIG NUTMEG CREEK
Yes,2.550 NW/O BONANZA
Yes,2.550 W/O EL DORADO
Yes,2.560 S/O CALIF AQUEDUCT
Yes,2.590 E/O SQUAW VALLEY RD
Yes,2.626 SE/O DUNLAP RD
Yes,2.640 N/O WILLOW
Yes,2.652 NE/O DRY CREEK
Yes,2.710 NE/O SSR 168
Yes,2.750 NE/O PITTMAN HILL RD
Yes,2.83 E/O ENNIS
Yes,2.830 E/O ENNIS
Yes,2.870 NE/O AUBERRY MISSION RD
Yes,2.88 W/O HOWARD ALIGN
Yes,2.880 W/O HOWARD ALIGN
Yes,2.900 NE/O FRIANT-KERN CANAL
Yes,2.930 SW/O SSR 63
Yes,20.590 W/O DERRICK
Yes,3.000 S.O ZAPATO CHINO CREEK (C-427
Yes,3.000 S/EO SSR 180
Yes,3.000 SE/O SSR 180
Yes,3.000 W/O JAMESON
Yes,3.062 NW/O TRIMMER SPRINGS
Yes,3.070 W/O SONOMA
Yes,3.100 N/O MILLERTON RD
Yes,3.110 N/O TOLL HOUSE RD
Yes,3.140 E/O DUNLAP RD
Yes,3.250 N/O JOSE BASIN RD
Yes,3.270 N/O WISH I AH
Yes,3.290 E/O SPARROW RD
Yes,3.300 SE/O JOSE BASIN RD
Yes,3.300 SE/O SAN BENITO
Yes,3.360 NE/O GOULD CANAL
Yes,3.400 S/O SSR 198
Yes,3.480 W/O SHIELDS
Yes,3.600 S/O SSR 198
Yes,3.670 NW/O BONANZA
Yes,3.690 NE/O SUNNY SLOPE RD
Yes,3.770 SE/O SAN BENITO
Yes,3.780 E/O BIG NUTMEG CREEK
Yes,3.800 SE/O JOSE BASIN RD
Yes,3.810 NE/O SSR 168
Yes,3.870 N/O SSR 180
Yes,3.880 W/O DERRICK
Yes,4.030 NW/O BONANZA
Yes,4.080 S/O SSR 198
Yes,4.100 S/O JENSEN
Yes,4.140 SE/O DERRICK
Yes,4.150 N/O COPPER
Yes,4.170 S/O JENSEN
Yes,4.190 NW/O TRIMMER SPRINGS
Yes,4.300 N/O JOSE BASIN RD
Yes,4.320 NE/O AUBERRY MISSION RD
Yes,4.370 E/O ENNIS
Yes,4.420 NW/O TRIMMER SPRINGS
Yes,4.500 NE/O FRIANT-KERN CANAL
Yes,4.600 NE/O PITTMAN HILL RD
Yes,4.660 E/O SPARROW RD
Yes,4.669 N/O COPPER
Yes,4.700 NE/O PITTMAN HILL RD
Yes,4.860 E/O BIG NUTMEG CREEK
Yes,4.900 NE/O SSR 168
Yes,4.900 S/O SSR 198
Yes,4.950 NE/O SUNNY SLOPE RD
Yes,5.030 NE/O FRIANT-KERN CANAL
Yes,5.230 N/O SSR 180
Yes,5.290 W/O SHIELDS
Yes,5.300 SE/O JOSE BASIN RD
Yes,5.370 SE/O DERRICK
Yes,5.400 NE/O FRIANT-KERN CANAL
Yes,5.400 NE/O SSR 168
Yes,5.580 NE/O AUBERRY MISSION RD
Yes,5.620 W/O DERRICK
Yes,5.660 NE/O SSR 168
Yes,5.700 NE/O PITTMAN HILL RD
Yes,5.900 S/O SSR 198
Yes,6.310 NE/O SSR 168
Yes,6.340 NE/O SUNNY SLOPE RD
Yes,6.440 E/O SPARROW RD
Yes,6.460 NE/O PITTMAN HILL RD
Yes,6.500 W/O SHIELDS
Yes,6.600 S/O SSR 198
Yes,6.670 E/O BIG NUTMEG CREEK
Yes,6.880 W/O DERRICK
Yes,7.120 NE/O SSR 168
Yes,7.270 S/O DERRICK
Yes,7.270 SE/O DERRICK
Yes,7.480 NE/O SSR 168 (SNOW GATE)
Yes,7.600 S/O SSR 198
Yes,7.770 NE/O SUNNY SLOPE RD
Yes,7.990 E/O BIG NUTMEG CREEK
Yes,8.120 W/O DERRICK
Yes,8.280 W/O SHEILDS
Yes,8.360 S/O DERRICK
Yes,8.650 NE/O SSR 168
Yes,9.470 S/O DERRICK
Yes,9.700 W/O DERRICK
No,A
No,ACACIA
No,ACADEMY
No,ACADEMY & BELMONT
No,ACADEMY & MANNING
No,ACADEMY & MOUNTAIN VIEW
No,ACADEMY & MUSCAT
No,ACADEMY AVE
No,ACADEMY N/B
No,ACADEMY S/B
No,ADAIR
No,ADAMS
No,ADAMS ALIGN
No,ADAMS AVE
No,ADLER
No,ALAMOS
No,ALDER SPRINGS
No,ALHAMBRA
No,ALICANTE & WILLOW
No,ALLUVIAL
No,ALLUVIAL & CHESTNUT
No,ALLUVIAL & WILLOW
No,ALMOND (SELMA)
No,ALPINE
No,ALPINE (DIRT)
No,ALTA
No,ALTA & MANNING
No,ALTA AVE
No,ALTHEA
No,ALTHEA AVE
No,ALVA
No,ALVA SNOW
No,AMADOR
No,AMADOR (DIRT)
No,AMBER
No,AMERICAN
No,AMERICAN & CLOVIS
No,AMERICAN & GOLDEN STATE
No,AMERICAN (DIRT)
No,AMERICAN ALIGN
No,AMERICAN AVE
No,AMHERST
No,ANCHOR
No,ANCHOR AVE
No,ANDREWS
No,ANGUS
No,ANNA
No,ANNADALE
No,ANNADALE ALIGN
No,ANNADALE AVE
No,ANNAPOLIS
No,ANTHONY
No,APACHE
No,APPALOOSA
No,APPALOOSA (EAST)
No,APPALOOSA (WEST)
No,APPLEGATE
No,AQUA VISTA
No,ARCADE
No,ARCHIE
No,ARDEN DR N
No,ARDEN DR S
No,ARDEN DR W
No,ARDEN DR W & S
No,ARGYLE
No,ARMSTRONG
No,ARMSTRONG & JENSEN
No,ARMSTRONG & KINGS CANYON
No,ARMSTRONG & NEES
No,ARMSTRONG & OLIVE
No,ARMSTRONG (FRONTAGE)
No,ARMSTRONG (NORTH)
No,ARMSTRONG (SOUTH)
No,ARMSTRONG ALIGN
No,ARMSTRONG AVE
No,ARROYO
No,ARTHUR
No,ASH
No,ASHCROFT
No,ASHLAN
No,ASHLAN & BRYAN
No,ASHLAN & CLOVIS
No,ASHLAN & FRUIT
No,ASHLAN & GRANTLAND
No,ASHLAN & HAYES
No,ASHLAN & LEONARD
No,ASHLAN & MAROA
No,ASHLAN & MINNEWAWA
No,ASHLAN & PALM
No,ASHLAN & THORNE
No,ASHLAN (DIRT)
No,ASHLAN ALIGN
No,ASHLAN AVE
No,ASPEN
No,ATCHISON
No,AUBERRY
No,AUBERRY & COPPER
No,AUBERRY MISSION RD
No,AUBERRY RD
No,AUSTIN
No,AVENAL (KINGS CO)
No,AVENELL ST
No,AVILA
No,B
No,BACKER
No,BAGLEY
No,BAILEY
No,BALCH
No,BALD MOUNTAIN
No,BARRETT
No,BARRETT (DIRT)
No,BARSTOW
No,BARSTOW & FRUIT
No,BARSTOW & MARKS
No,BARSTOW & MAROA
No,BARSTOW & PALM
No,BARSTOW & WEST
No,BARSTOW ALIGN
No,BARSTOW AVE
No,BARTON
No,BARTON (NORTH)
No,BARTON (SOUTH)
No,BARTON SQUARE
No,BASS
No,BASS AVE
No,BEAR MTN RD
No,BEECHWOOD
No,BEHYMER
No,BEHYMER & WILLOW
No,BEHYMER AVE
No,BELGRAVIA
No,BELL AIRE
No,BELLAIRE
No,BELLOWS
No,BELMONT
No,BELMONT & CLOVIS
No,BELMONT & FOWLER
No,BELMONT & HELM
No,BELMONT & PEACH
No,BELMONT & SUNNYSIDE
No,BELMONT & TEMPERANCE
No,BELMONT & WILLOW
No,BELMONT AVE
No,BELMONT E/B
No,BELMONT W/B
No,BENEDICT
No,BERAN WY
No,BERGERON
No,BERNADINE DR
No,BETHEL
No,BETHEL & MANNING
No,BETHEL & MOUNTAIN VIEW
No,BETHEL & NORTH
No,BETHEL ALIGN
No,BETHEL AVE
No,BIG NUTMEG CREEK (C-480)
No,BIG OAK
No,BIG SANDY
No,BIOLA
No,BIOLA (NORTH)
No,BIOLA (SOUTH)
No,BIOLA ALIGN
No,BIOLA AVE
No,BIRCH
No,BIRKHEAD
No,BISCEGLIA
No,BISHOP
No,BISHOP (DIRT)
No,BISHOP ALIGN
No,BISHOP AVE
No,BLACK OAK
No,Blackhawk
No,BLACKSTONE & BULLARD
No,BLACKSTONE & GETTYSBURG
No,BLACKSTONE & SIERRA
No,BLAINE
No,BLANCHARD
No,BLANCHARD (DIRT)
No,BLISS
No,BLUE MEADOW
No,BLUEJAY RD
No,BLYTHE
No,BLYTHE & CLINTON
No,BLYTHE & SHIELDS
No,BLYTHE & WELDON
No,BLYTHE AVE
No,BOBOLINK
No,BODIE
No,BONANZA
No,BOND
No,BOONE LANE
No,BOUNDARY
No,BOUNDARY (KINGS CO. LINE)
No,BOWLES
No,BOYD
No,BRANDYWINE LN
No,BRANNON
No,BRANNON (DIRT)
No,BRANNON AVE
No,BRAWLEY
No,BRAWLEY & CLINTON
No,BRAWLEY & SHIELDS
No,BRAWLEY AVE
No,BREHLER
No,BREMER
No,BRENTWOOD
No,BRETZ
No,BRIARWOOD
No,BRIARWOOD (NORTH)
No,BRIARWOOD (SCOTT)
No,BRIARWOOD (SOUTH)
No,BRIDGE (C-477)
No,BRIGHTON CREST & MILLERTON
No,BROOKS
No,BROOKS CIRCLE
No,BROOKSIDE
No,BROOKSIDE (DIRT)
No,BROWN
No,BROWNING
No,BROWNING & FRUIT
No,BROWNING & PALM
No,BROWNING CUL-DE-SAC
No,BRYAN
No,BRYAN & GETTYSBURG
No,BRYAN ALIGN
No,BRYAN AVE
No,BRYANT
No,BRYN MAWR DR
No,BUCK WY
No,BUCKEYE
No,BUCKHORN
No,BUCKINGHAM
No,BUENA VISTA
No,BUGG
No,BULLARD
No,BULLARD & FORKNER
No,BULLARD & FRUIT
No,BULLARD & GRANTLAND
No,BULLARD & MARKS
No,BULLARD & MAROA
No,BULLARD & PALM
No,BULLARD & VAN NESS
No,BULLARD & WEST
No,BULLARD (DIRT)
No,BULLARD AVE
No,BUNDY DR
No,BUNGALOW LN
No,BUNKERHILL DR
No,BURGAN
No,BURNS
No,BURREL
No,BURREL (DIRT)
No,BURROUGH NORTH RD
No,BURROUGH VALLEY RD
No,BURROUGHS
No,BUSH
No,BUTLER
No,BUTLER & CLOVIS
No,BUTLER & TEMPERANCE
No,BUTLER AVE
No,BUTTE
No,BUTTE ALIGN
No,BUTTONWILLOW
No,BUTTONWILLOW & MANNING
No,BUTTONWILLOW AVE
No,BYRD
No,C
No,CADILLAC (PRIVATE)
No,CAESAR
No,CALAVERAS
No,CALAVERAS (DIRT)
No,CALAVERAS AVE
No,CALIF AQUEDUCT
No,CALIFORNIA
No,CALIFORNIA ALIGN
No,CALIFORNIA AVE
No,CALIFORNIA-LYON CONN
No,CALIMYRNA
No,CALKINS RD
No,CALVIN
No,CALWA
No,CALWA (C.L.)
No,CALWA SCHOOL & CEDAR
No,CAMBRIA
No,CAMBRIA (DIRT)
No,CAMBRIA ALIGN
No,CAMBRIDGE
No,CAMDEN
No,CAMDEN AVE
No,CAMP SIERRA
No,CAMP SIERRA ENTRANCE
No,CANAL
No,CANAL ROAD
No,CARDINAL (PRIVATE)
No,CARILLO
No,CARMEL
No,CARMELLIA
No,CARMEN
No,CARMEN (EAST)
No,CARMEN (WEST)
No,CARNEGIE
No,CARRILLO
No,CARRUTH
No,CARTWRIGHT
No,CARUTHERS
No,CARUTHERS AVENUE
No,CASCADE
No,CASTON
No,CASTRO
No,CEDAR
No,CEDAR & CHURCH
No,CEDAR & CLINTON
No,CEDAR & JENSEN BYPASS
No,CEDAR & McKINLEY
No,CEDAR & PRINCETON
No,CEDAR & SHIELDS
No,CEDAR (NORTH)
No,CEDAR (SOUTH)
No,CEDAR AVE
No,CELESTE
No,CENTER
No,CENTRAL
No,CENTRAL & CHESTNUT
No,CENTRAL & CLOVIS
No,CENTRAL & GOLDEN STATE
No,CENTRAL & ORANGE
No,CENTRAL ALIGN
No,CENTRAL AVE
No,CENTRAL FRONTAGE
No,CERINI
No,CERINI (DIRT)
No,CERINI ALIGN
No,CERINI AVE
No,CHAHLIP LANE
No,CHAMISE LANE
No,CHANCE
No,CHANNEL
No,CHANNING
No,CHANNING CIRCLE
No,CHAPARRAL
No,CHAPPO
No,CHARLES
No,CHARLES CUL-DE-SAC
No,CHATEAU FRESNO
No,CHATEAU FRESNO (C.L.)
No,CHATEAU FRESNO (DIRT
No,CHATEAU FRESNO ALIGN
No,CHATEAU FRESNO AVE
No,CHENNAULT
No,CHERRY
No,CHERRY & NORTH
No,CHERRY AVE
No,CHERYL
No,CHESTNUT
No,CHESTNUT & CLINTON
No,CHESTNUT & HERNDON
No,CHESTNUT & JENSEN
No,CHESTNUT & NORTH
No,CHESTNUT & SHIELDS
No,CHESTNUT (DIRT)
No,CHESTNUT (FRONT ST.)
No,CHESTNUT (FRONTAGE)
No,CHESTNUT ALIGN
No,CHESTNUT AVE
No,CHESTNUT N/B
No,CHESTNUT S/B
No,CHICKADEE LANE
No,CHICO
No,CHIPMUNK
No,CHUCKWAGON RD
No,CHURCH
No,CHURCH & ORANGE
No,CHURCH (DIRT)
No,CHURCH AVE
No,CIANCETTI
No,CIRCLE CT (EAST)
No,CIRCLE CT (WEST)
No,CIRCLE CT E
No,CIRCLE CT W
No,CIRCLE DR
No,CLARA
No,CLAREMONT
No,CLAREMONT AVE
No,CLARKSON
No,CLAY
No,CLAYTON
No,CLAYTON (DIRT)
No,CLAYTON ALIGN
No,CLAYTON AVE
No,CLEMENCEAU
No,CLINTON
No,CLINTON & FOWLER
No,CLINTON & MAPLE
No,CLINTON & MARKS
No,CLINTON & MILLBROOK
No,CLINTON & NINTH
No,CLINTON & SIERRA VISTA
No,CLINTON & TEMPERANCE
No,CLINTON & VALENTINE
No,CLINTON & WINERY
No,CLINTON AVE
No,CLOVIS
No,CLOVIS & DAKOTA
No,CLOVIS & GETTYSBURG/PICO
No,CLOVIS & GOLDEN STATE FRTG
No,CLOVIS & JENSEN
No,CLOVIS & KINGS CANYON
No,CLOVIS & NORTH
No,CLOVIS & OLIVE
No,CLOVIS & SHEPHERD
No,CLOVIS & SHIELDS/AIRWAYS
No,CLOVIS (FRONTAGE RD)
No,CLOVIS (NORTH)
No,CLOVIS (SOUTH)
No,CLOVIS AVE
No,CLOVIS C.L.
No,CLOVIS FRONTAGE RD
No,CLOVIS N/B
No,CLOVIS S/B
No,CLUB VIEW DR
No,CLYDE FANNON RD
No,CO LINE (KINGS)
No,CO LINE (MADERA)
No,CO LINE (MERCED)
No,CO LINE (MONTEREY)
No,CO LINE (SAN BENITO)
No,CO LINE (TULARE)
No,COALINGA C.L.
No,COALINGA MIN SP RD
No,COALINGA MINERAL SPRINGS RD
No,COALINGA U.L.
No,COALINGA-MENDOTA
No,COLD SPRINGS LN
No,COLE
No,COLEMAN
No,COLEMAN (DIRT)
No,COLLEGE
No,COLONIAL
No,COLONIAL (NORTH)
No,COLONIAL (SOUTH)
No,COLORADO AVE
No,COLORADO RD
No,COLUMBIA
No,COLUMBIA DR
No,COLUMBIA DR (EAST)
No,COLUMBIA DR (NORTH)
No,COLUMBIA DR (SOUTH)
No,COLUMBIA DR (SQUARE)
No,COLUSA
No,COLUSA ALIGN
No,COLWELL LANE (EAST)
No,COLWELL LANE (WEST)
No,COMMERCE
No,CONCORD
No,CONEJO
No,CONEJO ALIGN
No,CONN
No,CONSTELLATION
No,CONTRA COSTA
No,CONTRA COSTA (DIRT)
No,CONVERSE
No,COPPER
No,COPPER & WILLOW
No,CORDWOOD
No,CORLEW
No,CORNELIA
No,CORNELIA & DAKOTA
No,CORNELIA & SHIELDS
No,CORNELIA (C.L)
No,CORNELIA (NORTH)
No,CORNELIA (SOUTH)
No,CORNELIA AVE
No,CORNELL
No,CORTLAND
No,CORTLEY
No,COTTLE
No,COUNTRY CLUB LN
No,COUNTRYSIDE
No,COUNTRYSIDE (ROOT)
No,COUNTY LINE (KINGS)
No,COUNTY LINE (MERCED)
No,COUNTY LINE (TULARE)
No,COVE
No,COVE (NORTH)
No,COVE (SOUTH)
No,COVE AVE
No,COVENTRY
No,COYOTE TRAIL
No,CRAWFORD
No,CRAWFORD AVE
No,CREEKSIDE RD
No,CRESCENT
No,CRESCENT (N)
No,CRESCENT (S)
No,CRESCENT DITCH
No,CRESTWOOD
No,CRIPE RD
No,CROOKS
No,CRUMP LANE
No,CRYSTAL
No,CUL-DE-SAC
No,CULVERT - DUTCHMAN CANYON
No,CUMORAH
No,CURRAN
No,CUSTER
No,CUSTER AVE
No,D
No,DAGGETT
No,DAKOTA
No,DAKOTA & MAROA
No,DAKOTA & PALM
No,DAKOTA ALIGN
No,DAKOTA AVENUE
No,DALEVILLE
No,DALTON
No,DANIELS
No,DATE
No,DAVIDSON
No,DAVIDSON ALIGN
No,DAVIDSON AVE
No,DAVIS
No,DAVIS (DIRT)
No,DAVIS ALIGN
No,DAVIS AVE
No,DE WITT
No,DE WOLF
No,DE WOLF (DIRT)
No,DE WOLF (NORTH)
No,DE WOLF (SOUTH)
No,DE WOLF ALIGN
No,DE WOLF AVE
No,DE WOODY
No,DE WOODY AVE
No,DEARING
No,DEE ANN
No,DEL MAR
No,DEL NORTE
No,DEL NORTE AVE
No,DEL REY
No,DEL REY (NORTH)
No,DEL REY (SOUTH)
No,DEL REY ALIGN. (SELMA C.L.)
No,DEL REY AVE
No,DEL RIO
No,DELNO
No,DELTA MENDOTA CANAL (C-147)
No,DENNETT
No,DENNETT  ALIGN
No,DENNETT (EAST)
No,DENNETT (WEST)
No,DENNETT ALIGN.
No,DENNIS
No,DENVER
No,DERRICK
No,DERRICK (SSR 33)
No,DERRICK AVE
No,DEWEY
No,DEWEY (CITY)
No,DEWOLF
No,DEWOLF & HERNDON
No,DIANA
No,DICKENSON
No,DICKENSON (PAIGE)
No,DICKENSON AVE
No,DIGGER
No,DINKEY CREEK RD
No,DINUBA
No,DINUBA (DIRT)
No,DINUBA ALIGN
No,DINUBA AVE
No,DIPPER LANE
No,DIPPER LANE (EAST)
No,DIPPER LANE (WEST)
No,DITCH
No,DOCKERY
No,DOCKERY ALIGN
No,DOCKERY AVE
No,DOGWOOD
No,DOGWOOD ROAD
No,DOLAN
No,DOLORES
No,DOMENGINE
No,DONNER
No,DOOLITTLE
No,DORABELLA
No,DOS PALOS
No,DOUGHTY
No,DOUGLAS
No,DOUGLAS (DEAD END)
No,DOUGLAS (DIRT)
No,DOUGLAS (NORTH)
No,DOUGLAS (SOUTH)
No,DOUGLAS ALIGN
No,DOUGLAS AVE
No,DOVEWOOD
No,DOWER
No,DOWER AVE
No,DRUMMOND
No,DRY CREEK
No,DRY CREEK (C-238)
No,DRY CREEK (C-242)
No,DUDLEY
No,DUKE
No,DUNLAP RD
No,DURANT
No,DWIGHT
No,E
No,EAGLE
No,EARL
No,EAST
No,EAST AVE
No,EASTERBY N
No,EASTERBY S
No,EDDY
No,EDGAR
No,EDGAR AVE
No,EDITH DR
No,EFIRD
No,EL CAPITAN
No,EL DORADO
No,EL DORADO (DIRT)
No,EL DORADO ALIGN
No,EL DORADO AVE
No,EL LADO
No,EL MONTE
No,EL MONTE WAY
No,EL MONTE WY
No,EL PROGRESSO
No,ELDERBERRY RD
No,ELEVENTH
No,ELIZABETH
No,ELKHORN
No,ELKHORN AVE
No,ELKHORN GRADE
No,ELLENA
No,ELLERY
No,ELLERY (EAST)
No,ELLERY (WEST)
No,ELM
No,ELM & LINCOLN
No,ELM & NORTH
No,ELM (SOUTH)
No,ELM AVE
No,ELWOOD
No,ELWOOD RD
No,EMPEROR
No,END
No,END MAINT RD
No,END MAINT RD (C.L.)
No,END MAINT RD (CUL-DE-SAC)
No,END MAINT RD (EAST)
No,END MAINT RD (FRESNO C.L.)
No,END MAINT RD (GATE)
No,END MAINT RD (PARK ENTRANCE)
No,END MAINT RD (WEST)
No,END MAINT RD(FRONTAGE RD)
No,END MAINT RD.
No,END OF MAINT
No,END OF MAINT (CUL-DE-SAC)
No,END OF MAINTENANCE
No,END OF PAVEMENT
No,ENGLEHART
No,ENGLEHART AVE
No,ENNIS
No,ENNIS RD
No,ENTERPRISE CANAL (CLOVIS C.L.)
No,EOM (CUL-DE-SAC)
No,ERIE
No,ERIKSON
No,ESCALON
No,ESCALON (CUL-DE-SAC)
No,ESCALON CUL-DE-SAC
No,ESTRELLA
No,EUCLID
No,EUGENIA
No,EUNICE
No,EVANS
No,EVANS AVE
No,EVELYN
No,EVELYN AVE (FRESNO C.L.)
No,EVERGREEN RD
No,EXCELSIOR
No,EXCELSIOR AVE
No,EXCHEQUER DR
No,F
No,FAIR
No,FAIRBANKS
No,FAIRFAX
No,FAIRFAX (NORTH)
No,FAIRFAX (SOUTH)
No,FAIRFAX AVE
No,FAIRLESS
No,FAIRMONT
No,FAIRMONT (EAST)
No,FAIRMONT (FRESNO C.L.)
No,FAIRMONT (WEST)
No,FAIRWAY
No,FALLEN OAK
No,FALLON
No,FANCHER
No,FANCHER AVE
No,FANTZ
No,FANTZ AVE
No,FARRIS
No,FARRIS (END MAINT RD)
No,FATIMA
No,FATIMA AVE
No,FELAND
No,FELAND AVE
No,FERGER
No,FIESTA
No,FIFTH
No,FIG
No,FIG AVE
No,FIG/MLK & JENSEN
No,FIG/MLK & NORTH
No,FIKE
No,FILLMORE
No,FINE
No,FIR
No,FIREBAUGH C.L.
No,FIRESTONE
No,FLEMMING
No,FLICKER
No,FLINTRIDGE
No,FLORADORA
No,FLORADORA AVE
No,FLORAL
No,FLORAL (DIRT)
No,FLORAL ALIGN
No,FLORAL AVE
No,FLORENCE
No,FLOYD
No,FLOYD ALIGN
No,FLOYD AVE
No,FLUME RD
No,FLUME RD (N)
No,FLUME RD (S)
No,FOLSOM
No,FORKNER
No,FORRESTAL
No,FOUNTAIN WAY
No,FOUNTAIN WY
No,FOURTH
No,FOURTH (FRESNO)
No,FOWLER
No,FOWLER & JENSEN
No,FOWLER & KINGS CANYON
No,FOWLER & MCKINLEY
No,FOWLER & NEES
No,FOWLER & OLIVE
No,FOWLER & SHEPHERD
No,FOWLER (NORTH)
No,FOWLER (SOUTH)
No,FOWLER AVE
No,FOWLER C.L.
No,FOXTAIL
No,FRAINT RD
No,FRAME LANE (EAST)
No,FRAME LANE (WEST)
No,FRANK
No,FRANKLIN
No,FRANKWOOD
No,FRANKWOOD AVE
No,FRAZIER RD
No,FREMONT
No,FRESNO C.L.
No,FRESNO C.L. (0.147 E/O MINNEWAWA)
No,FRESNO C.L. (SIERRA VISTA)
No,FRESNO C.L. (WINERY)
No,FRESNO C.L.(0.05 S/O HUNTINGTON BLV
No,FRESNO C.L.(0.09 N/O KINGS CANYON)
No,FRESNO C.L.(BELMONT)
No,FRESNO C.L.(YALE AVE.)
No,FRESNO CANAL
No,FRESNO SLOUGH (C-554)
No,FRESNO U.L.
No,FRESNO U.L.(BLISS)
No,FRIANT & NORTH FORK
No,FRIANT RD
No,FRIANT RD GLADDING M
No,FRIANT RD LANCASTER
No,FRIANT-KERN CANAL
No,FRONT
No,FRUIT
No,FRUIT & HERNDON
No,FRUIT & SHAW
No,FRUIT & SIERRA
No,FRUIT AVE
No,G
No,GAINES
No,GALE
No,GALE (KINGS CO)
No,GALE AVE
No,GALVEZ
No,GARFIELD
No,GARFIELD (DIRT)
No,GARFIELD ALIGN
No,GARFIELD AVE
No,GARLAND
No,GARLAND CIR
No,GARRETT
No,GASCHEN
No,GASTON
No,GAYNOR
No,GEARY
No,GENEVA
No,GEORGE SMITH RD
